lon,lat,change
-96.83975294250371,32.9326473837949,growth_pos
-96.85270769329934,32.92693860539856,growth_pos
-96.85021891786138,32.93021582160464,growth_pos
-96.84962840282371,32.930548905924944,growth_pos
-96.84415875727177,32.93546360578259,growth_pos
-96.84596226825663,32.92925209060149,growth_pos
-96.84569428846274,32.93067041959805,growth_pos
-96.84028086828455,32.939241147179075,growth_pos
-96.84795719923716,32.93130602666166,growth_pos
-96.85583823037476,32.925590959659154,growth_pos
-96.81363205490436,32.94906602176261,growth_pos
-96.81084850913236,32.94729661361738,growth_pos
-96.81202486408684,32.95387940906317,growth_pos
-96.81422839558262,32.94466117420359,growth_pos
-96.81135307323017,32.953051517138434,growth_pos
-96.81145203075425,32.944129125065274,growth_pos
-96.81349305875932,32.95228924765546,growth_pos
-96.75630844030921,32.868167976950566,growth_pos
